session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781215945757,2026-09-20T04:32:21.642494Z,-5.4372320,6.5859251,8.3061590,,,,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781226016336,2026-09-20T04:32:21.642646Z,-4.3525090,6.1008749,9.1153240,,,,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781236145206,2026-09-20T04:32:21.642723Z,-1.7782185,4.9567456,9.6408520,-1.2937087,-2.4498227,0.4504715,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781246232730,2026-09-20T04:32:21.642796Z,-1.2197709,3.8530936,10.1023340,-1.2937087,-2.4498227,0.4504715,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781256338850,2026-09-20T04:32:21.642871Z,-0.6817489,3.2609775,10.1357784,-1.2011296,-3.2779214,0.3331780,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781266419498,2026-09-20T04:32:21.642935Z,0.0978630,3.0075662,9.8103161,-1.2011296,-3.2779214,0.3331780,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781276483340,2026-09-20T04:32:21.643033Z,0.9152584,2.9585600,9.5455322,-1.1428909,-3.7942092,0.1926690,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781286592431,2026-09-20T04:32:21.643108Z,2.0154688,3.0609121,8.9955397,-1.1428909,-3.7942092,0.1926690,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781296677189,2026-09-20T04:32:21.644733Z,2.6342952,3.1334114,8.6340151,-1.1214074,-3.6552656,-0.1394431,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781306751447,2026-09-20T04:32:21.644805Z,2.7292404,3.3283145,8.7121258,-1.1214074,-3.6552656,-0.1394431,,,,,,,
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781316843570,2026-09-20T04:32:21.664133Z,2.3525276,3.6188359,8.9639664,-1.0195354,-2.3288653,-0.5030978,2.4028916,3.4602661,8.8593893,0.2114302,0.0612242,0.7572982,0.6148563
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781326905175,2026-09-20T04:32:21.683951Z,0.1287632,3.4231846,11.5408001,-0.4308032,-0.8301972,-0.4347002,2.5758266,3.3611388,8.8489532,0.2156813,0.0496449,0.7517022,0.6212574
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781337014753,2026-09-20T04:32:21.684333Z,1.4226047,4.2936268,10.3578405,-0.4308032,-0.8301972,-0.4347002,2.5758266,3.3611388,8.8489532,0.2156813,0.0496449,0.7517022,0.6212574
gait_20260920_043221_friend_ryan_walk_2,friend_ryan_walk_2,2535781347074242,2026-09-20T04:32:21.704065Z,1.2058547,4.4761095,9.6792336,0.3174401,0.6276690,-0.2180662,2.5390995,3.3980806,8.8454580,0.2155647,0.0518947,0.7502862,0.6228239
