session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977044819324,2026-09-20T03:45:37.421188Z,1.7607857,5.3167739,7.8912139,,,,,,,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977054882561,2026-09-20T03:45:37.421505Z,1.7385645,5.1959414,7.8267951,,,,,,,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977065082918,2026-09-20T03:45:37.421601Z,1.6124201,5.1841202,7.9329629,-0.1976818,-0.2332546,-0.1249876,,,,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977075165885,2026-09-20T03:45:37.421696Z,1.5477017,5.1582327,8.1210575,-0.1976818,-0.2332546,-0.1249876,,,,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977085274772,2026-09-20T03:45:37.434911Z,1.6518495,5.0246811,8.2275991,-0.3388570,-0.1237219,-0.1705027,1.8013092,5.3778167,8.0044041,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977095358716,2026-09-20T03:45:37.435587Z,1.7294366,4.9685669,8.2297688,-0.3388570,-0.1237219,-0.1705027,1.8013092,5.3778167,8.0044041,,,,
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977105442904,2026-09-20T03:45:37.453383Z,1.8354548,4.8591070,8.4138231,-0.4077542,-0.1024382,-0.2864971,1.7860690,5.3232851,8.0441723,0.2115918,0.1895293,0.8272160,0.4847899
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977115513989,2026-09-20T03:45:37.453659Z,1.7386394,4.6972742,8.7261171,-0.4077542,-0.1024382,-0.2864971,1.7860690,5.3232851,8.0441723,0.2115918,0.1895293,0.8272160,0.4847899
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977125611116,2026-09-20T03:45:37.472907Z,1.7378163,4.5553427,8.8327341,-0.3358426,-0.2410486,-0.4035241,1.7782735,5.2735715,8.0785704,0.2106255,0.1861190,0.8256955,0.4891048
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977135670443,2026-09-20T03:45:37.494426Z,1.6440684,4.2316766,8.9088993,-0.2032109,-0.3594079,-0.4973356,1.7809291,5.2497931,8.0934591,0.2113415,0.1835858,0.8230621,0.4941660
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977145775790,2026-09-20T03:45:37.494845Z,1.5443349,4.0438814,8.8307133,-0.2032109,-0.3594079,-0.4973356,1.7809291,5.2497931,8.0934591,0.2113415,0.1835858,0.8230621,0.4941660
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977155863216,2026-09-20T03:45:37.495094Z,1.6888849,4.5982141,8.8307133,-0.2032109,-0.3594079,-0.4973356,1.7809291,5.2497931,8.0934591,0.2113415,0.1835858,0.8230621,0.4941660
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977165946037,2026-09-20T03:45:37.512814Z,2.0130000,4.7942390,8.7583637,-0.1420745,-0.4471240,-0.4728377,1.7981904,5.2393785,8.0963907,0.2131191,0.1810484,0.8199329,0.4995116
gait_20260920_034537_owner_seated_legs_2,owner_seated_legs_2,2532977176029533,2026-09-20T03:45:37.532946Z,2.3930047,4.5599070,8.5564280,-0.1142458,-0.7586853,-0.6021219,1.8398820,5.2431793,8.0845547,0.2165735,0.1784495,0.8162376,0.5049830
