session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316282825722,2026-09-20T03:51:16.649842Z,2.8044331,4.7678285,9.0806084,0.3042335,0.3071147,-0.6376613,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316292865704,2026-09-20T03:51:16.649987Z,1.4481927,5.2881184,8.0261869,0.3042335,0.3071147,-0.6376613,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316303190207,2026-09-20T03:51:16.654035Z,0.8665514,5.7784057,7.3035121,0.3042335,0.3071147,-0.6376613,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316313299013,2026-09-20T03:51:16.654397Z,1.8469021,5.3380971,7.2552543,0.3042335,0.3071147,-0.6376613,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316323382956,2026-09-20T03:51:16.674942Z,2.4537575,4.6202106,7.6456585,-0.4507546,0.7383675,-0.2730075,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316333449810,2026-09-20T03:51:16.675078Z,2.6033204,3.9775171,8.2018614,-0.4507546,0.7383675,-0.2730075,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316343564759,2026-09-20T03:51:16.693658Z,2.2026656,3.6203322,8.2917938,-0.7709592,0.5998903,-0.3434202,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316353658754,2026-09-20T03:51:16.694163Z,1.8472762,3.4365773,7.9303441,-0.7709592,0.5998903,-0.3434202,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316363723410,2026-09-20T03:51:16.713813Z,1.3566146,3.5351136,7.7768908,-0.9334680,0.5607370,-0.3239185,,,,,,,
gait_20260920_035116_owner_phone_shake_1,owner_phone_shake_1,2533316373799622,2026-09-20T03:51:16.714252Z,1.0384849,3.8403742,8.1727571,-0.9334680,0.5607370,-0.3239185,,,,,,,
