session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541559945763,2026-09-20T03:55:01.939352Z,-2.3669677,6.0014405,6.1605802,,,,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541570008042,2026-09-20T03:55:01.939719Z,-2.3306806,5.7332153,6.3921447,,,,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541580070320,2026-09-20T03:55:01.939772Z,-2.3458688,5.6217351,6.8102317,-1.1408092,-0.7124208,-0.3469009,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541590301166,2026-09-20T03:55:01.939879Z,-2.2119431,5.3793225,7.3926215,-1.1408092,-0.7124208,-0.3469009,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541600408995,2026-09-20T03:55:01.950247Z,-2.0049195,5.0069489,8.0883617,-1.7204317,-0.7058758,-0.2249943,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541610493386,2026-09-20T03:55:01.950595Z,-1.8003649,4.5677629,8.7986164,-1.7204317,-0.7058758,-0.2249943,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541620554217,2026-09-20T03:55:01.972129Z,-1.4752023,4.1548376,9.5004921,-1.7200153,-0.8498487,-0.2604504,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541630643085,2026-09-20T03:55:01.972687Z,-1.1563246,3.8716486,9.9356375,-1.7200153,-0.8498487,-0.2604504,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541640746438,2026-09-20T03:55:01.989525Z,-1.0021979,3.6876693,9.2989302,-1.7965566,-1.3153588,-0.2961564,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541650826923,2026-09-20T03:55:01.990213Z,-0.8515128,3.3421559,9.0984898,-1.7965566,-1.3153588,-0.2961564,,,,,,,
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541660911192,2026-09-20T03:55:02.009532Z,-0.7714567,3.4293199,9.0928783,-1.8580762,-1.4720386,-0.2612332,-0.8451713,3.4687228,9.1372728,-0.0315978,0.1824539,0.9804676,0.0662990
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541671010272,2026-09-20T03:55:02.010061Z,-0.7894132,3.5228434,9.2595749,-1.8580762,-1.4720386,-0.2612332,-0.8451713,3.4687228,9.1372728,-0.0315978,0.1824539,0.9804676,0.0662990
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541681079771,2026-09-20T03:55:02.029681Z,-0.7949498,3.4967315,9.3539219,-1.7353202,-1.2612336,-0.0939946,-0.5873662,3.1198936,9.2820997,-0.0186946,0.1629625,0.9839087,0.0708348
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541691192158,2026-09-20T03:55:02.030370Z,-0.8753052,3.3573442,9.5528650,-1.7353202,-1.2612336,-0.0939946,-0.5873662,3.1198936,9.2820997,-0.0186946,0.1629625,0.9839087,0.0708348
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541701249001,2026-09-20T03:55:02.049482Z,-0.8126819,3.1332619,9.7857761,-1.4933389,-0.8504150,0.1706026,-0.3633131,2.7985036,9.3953447,-0.0080243,0.1451550,0.9866777,0.0730265
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541711332986,2026-09-20T03:55:02.050638Z,-0.7113772,2.9043162,9.9499283,-1.4933389,-0.8504150,0.1706026,-0.3633131,2.7985036,9.3953447,-0.0080243,0.1451550,0.9866777,0.0730265
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541721395933,2026-09-20T03:55:02.069603Z,-0.5199159,2.6883893,10.0468187,-1.2555878,-0.3078807,0.4368319,-0.2069549,2.5247166,9.4772930,-0.0012129,0.1302156,0.9888821,0.0717955
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541731501687,2026-09-20T03:55:02.070320Z,-0.4560954,2.6037691,10.1205902,-1.2555878,-0.3078807,0.4368319,-0.2069549,2.5247166,9.4772930,-0.0012129,0.1302156,0.9888821,0.0717955
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541741585996,2026-09-20T03:55:02.089541Z,-0.1455226,2.4689457,10.0979195,-1.0260971,0.1733172,0.6732507,-0.1433956,2.2940881,9.5369129,0.0006264,0.1179765,0.9907390,0.0672118
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541751671812,2026-09-20T03:55:02.090610Z,-0.3164835,2.4106619,10.2789812,-1.0260971,0.1733172,0.6732507,-0.1433956,2.2940881,9.5369129,0.0006264,0.1179765,0.9907390,0.0672118
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541761732888,2026-09-20T03:55:02.109851Z,-0.6340145,2.5189247,10.7481699,-0.7078243,0.7291080,0.9473241,-0.1641927,2.1079524,9.5794411,-0.0019112,0.1083864,0.9923120,0.0597145
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541771818012,2026-09-20T03:55:02.110931Z,-0.8146271,2.6963201,11.1028862,-0.7078243,0.7291080,0.9473241,-0.1641927,2.1079524,9.5794411,-0.0019112,0.1083864,0.9923120,0.0597145
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541781923399,2026-09-20T03:55:02.130058Z,-0.9635165,2.8123641,11.2156382,-0.2241282,1.2269764,1.3137933,-0.2841680,1.9893470,9.6019716,-0.0095519,0.1025264,0.9934911,0.0487097
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541792009174,2026-09-20T03:55:02.130621Z,-1.1437551,2.8755858,11.2135429,-0.2241282,1.2269764,1.3137933,-0.2841680,1.9893470,9.6019716,-0.0095519,0.1025264,0.9934911,0.0487097
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541802102354,2026-09-20T03:55:02.150323Z,-0.9094226,2.8448353,11.3235264,0.4521535,1.7463951,1.3690176,-0.4865814,1.9772648,9.5963411,-0.0215040,0.1021148,0.9939741,0.0335503
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541812190489,2026-09-20T03:55:02.151044Z,-0.2809446,2.9006503,10.9466639,0.4521535,1.7463951,1.3690176,-0.4865814,1.9772648,9.5963411,-0.0215040,0.1021148,0.9939741,0.0335503
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541822260313,2026-09-20T03:55:02.170740Z,0.5086930,3.1252563,10.1103401,0.8535459,0.9826137,0.2122707,-0.7787731,2.1047451,9.5498524,-0.0379179,0.1087272,0.9931721,0.0187072
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541832345356,2026-09-20T03:55:02.171402Z,0.8206126,3.6064160,9.3062620,0.8535459,0.9826137,0.2122707,-0.7787731,2.1047451,9.5498524,-0.0379179,0.1087272,0.9931721,0.0187072
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541842430805,2026-09-20T03:55:02.190464Z,0.2685247,4.3979239,9.2493248,0.8535459,0.9826137,0.2122707,-0.9214157,2.2779894,9.4972553,-0.0451084,0.1179209,0.9918187,0.0188594
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541852512470,2026-09-20T03:55:02.210176Z,-0.2367267,5.1825490,9.9177561,0.8013859,-0.7363024,-1.2983551,-0.8011879,2.4013705,9.4777441,-0.0366988,0.1248511,0.9908492,0.0358223
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541862601988,2026-09-20T03:55:02.211084Z,-0.3916764,5.3876271,10.3621798,0.8013859,-0.7363024,-1.2983551,-0.8011879,2.4013705,9.4777441,-0.0366988,0.1248511,0.9908492,0.0358223
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541872661314,2026-09-20T03:55:02.229825Z,-0.4959739,4.9755254,10.4016094,0.6684378,-1.3589753,-2.0333753,-0.6366903,2.4930518,9.4665422,-0.0250201,0.1299212,0.9894373,0.0592314
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541882770934,2026-09-20T03:55:02.231008Z,-0.6114193,4.0083427,10.0257196,0.6684378,-1.3589753,-2.0333753,-0.6366903,2.4930518,9.4665422,-0.0250201,0.1299212,0.9894373,0.0592314
gait_20260920_035501_friend_ritvik_walk_1,friend_ritvik_walk_1,2533541892830179,2026-09-20T03:55:02.250438Z,-0.7197569,2.5044847,9.4844809,0.5487295,-1.3728646,-2.3048172,-0.4883855,2.5693603,9.4549446,-0.0137725,0.1338169,0.9873092,0.0844040
