session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170667644459,2026-09-19T21:58:53.819229Z,1.3976152,4.6618848,6.3762827,-0.0967925,-0.2012624,-0.1759319,-2.3928392,6.8269167,6.6259832,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170677719718,2026-09-19T21:58:53.819640Z,1.0292823,5.0597711,7.7051396,-1.2127707,0.6980151,0.1787297,-2.3928392,6.8269167,6.6259832,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170687806105,2026-09-19T21:58:53.819811Z,1.7806127,4.8065844,8.1005573,-1.2127707,0.6980151,0.1787297,-2.3928392,6.8269167,6.6259832,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170697892206,2026-09-19T21:58:53.840501Z,2.6874914,4.5020719,8.4595375,-1.0311098,0.7279589,0.0441495,1.9698107,5.1670647,8.1029253,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170707997878,2026-09-19T21:58:53.840738Z,3.0226796,4.2213516,8.9426422,-1.0311098,0.7279589,0.0441495,1.9698107,5.1670647,8.1029253,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170718081212,2026-09-19T21:58:53.858205Z,2.9518263,3.8720226,8.6873608,-0.6171937,0.7313396,-0.1899544,1.8261586,5.0454702,8.2124586,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170728161981,2026-09-19T21:58:53.858572Z,2.6277113,3.7380970,8.1374426,-0.6171937,0.7313396,-0.1899544,1.8261586,5.0454702,8.2124586,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170738222935,2026-09-19T21:58:53.878292Z,2.3038955,3.6736782,7.0953665,-0.2812511,0.1230724,-0.2658130,1.7295420,4.9966192,8.2630854,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170748340774,2026-09-19T21:58:53.878677Z,2.5032876,3.2674868,5.8507557,-0.2812511,0.1230724,-0.2658130,1.7295420,4.9966192,8.2630854,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170758415034,2026-09-19T21:58:53.898276Z,2.5046341,2.9224973,5.3574004,-0.1572628,-0.6869902,-0.2955402,1.7885442,4.9769120,8.2624187,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170768499546,2026-09-19T21:58:53.898648Z,1.6116718,3.7976527,6.0036106,-0.1572628,-0.6869902,-0.2955402,1.7885442,4.9769120,8.2624187,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170778583165,2026-09-19T21:58:53.918142Z,1.4840310,4.0486698,6.1508536,-0.0544583,-0.9000769,-0.1904707,1.9111315,4.9724226,8.2376394,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170788666987,2026-09-19T21:58:53.918582Z,1.7096096,3.8102224,6.2995186,-0.0544583,-0.9000769,-0.1904707,1.9111315,4.9724226,8.2376394,0.1066029,0.3940066,0.7507920,0.5193322
gait_20260919_215853_andrew_normal_2,andrew_normal_2,2512170798755081,2026-09-19T21:58:53.939508Z,1.9782840,3.5125933,6.1288571,-0.0383206,-0.8367088,-0.0050461,2.0533307,4.9714770,8.2039232,0.1066029,0.3940066,0.7507920,0.5193322
