session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513567977187862,2026-09-19T22:22:11.117095Z,1.5933412,4.6452751,8.3675852,,,,,,,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513567987271398,2026-09-19T22:22:11.117274Z,1.2350340,4.9945292,8.0989857,0.0259135,0.3438532,-0.3378245,,,,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513567997381058,2026-09-19T22:22:11.122757Z,1.5576527,4.9761238,7.7477865,0.0259135,0.3438532,-0.3378245,2.1991675,4.5262394,8.4209814,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568007465124,2026-09-19T22:22:11.131918Z,2.1213374,4.7081976,7.4021983,0.0267129,0.2325052,-0.1390601,2.1991675,4.5262394,8.4209814,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568017523108,2026-09-19T22:22:11.141686Z,2.3799860,4.4480529,7.4509802,0.0267129,0.2325052,-0.1390601,2.1520290,4.5341768,8.4288864,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568027616084,2026-09-19T22:22:11.155288Z,2.1759553,4.4033856,7.8943563,-0.1199747,0.1888886,-0.1405090,2.1520290,4.5341768,8.4288864,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568037717117,2026-09-19T22:22:11.166038Z,2.1329343,4.5518265,8.0582848,-0.1199747,0.1888886,-0.1405090,2.1040711,4.5151615,8.4511719,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568047801021,2026-09-19T22:22:11.173240Z,2.2765865,4.7683520,7.5564747,-0.2470773,0.3620892,-0.2181495,2.1040711,4.5151615,8.4511719,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568057884273,2026-09-19T22:22:11.181935Z,2.0052936,4.8270097,7.7456164,-0.2470773,0.3620892,-0.2181495,2.0184751,4.4789925,8.4912014,,,,
gait_20260919_222211_andrew_fast_1,andrew_fast_1,2513568067970942,2026-09-19T22:22:11.192047Z,1.7782934,4.7448587,7.9213657,-0.3289646,0.3473838,-0.2989209,2.0184751,4.4789925,8.4912014,,,,
