session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773709574179,2026-09-19T22:25:36.874334Z,2.5902269,4.0296659,8.9629936,,,,,,,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773719666833,2026-09-19T22:25:36.874510Z,2.4310126,3.6282630,9.0101290,,,,,,,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773729742872,2026-09-19T22:25:36.874582Z,2.1561282,3.4860325,9.0423012,-0.2029778,-0.0669320,-0.5776740,,,,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773739805667,2026-09-19T22:25:36.874658Z,2.0053685,3.5764885,8.9341879,-0.2029778,-0.0669320,-0.5776740,,,,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773749890669,2026-09-19T22:25:36.884410Z,1.9610757,3.7013609,8.6444149,-0.1375612,0.1267862,-0.3398063,2.0426688,3.6977022,8.8538475,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773760002607,2026-09-19T22:25:36.884731Z,1.9617491,3.7781999,8.2561798,-0.1375612,0.1267862,-0.3398063,2.0426688,3.6977022,8.8538475,,,,
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773770060266,2026-09-19T22:25:36.904617Z,2.1187937,3.8396261,7.8588176,-0.2140027,-0.0368884,-0.3365754,1.9965483,3.6857135,8.8693533,0.2179640,-0.0320448,0.3410631,0.9138604
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773780180260,2026-09-19T22:25:36.904998Z,2.1439328,3.9312792,7.7035685,-0.2140027,-0.0368884,-0.3365754,1.9965483,3.6857135,8.8693533,0.2179640,-0.0320448,0.3410631,0.9138604
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773790252363,2026-09-19T22:25:36.924705Z,1.8650831,4.0791211,7.6441622,-0.3100457,-0.2198315,-0.3841723,1.9843326,3.6580880,8.8835201,0.2161965,-0.0327558,0.3377000,0.9155025
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773800335046,2026-09-19T22:25:36.925665Z,1.7053450,4.0040030,7.7608795,-0.3100457,-0.2198315,-0.3841723,1.9843326,3.6580880,8.8835201,0.2161965,-0.0327558,0.3377000,0.9155025
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773810421919,2026-09-19T22:25:36.944759Z,1.6704794,3.8035636,7.9432878,-0.4185626,-0.3110949,-0.4129669,2.0004654,3.6149073,8.8975668,0.2141405,-0.0353315,0.3334184,0.9174572
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773820495263,2026-09-19T22:25:36.945109Z,1.6056116,3.6913352,7.9954367,-0.4185626,-0.3110949,-0.4129669,2.0004654,3.6149073,8.8975668,0.2141405,-0.0353315,0.3334184,0.9174572
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773830576053,2026-09-19T22:25:36.964654Z,1.3443443,3.5597291,7.9691753,-0.4185626,-0.3110949,-0.4129669,2.0294473,3.5516255,8.9164686,0.2112618,-0.0389578,0.3287641,0.9196548
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773840647627,2026-09-19T22:25:36.985181Z,1.2541876,3.3602622,8.0392056,-0.6245048,-0.3888687,-0.3092464,2.0798125,3.4435387,8.9472084,0.2064924,-0.0441776,0.3250417,0.9218228
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773850754927,2026-09-19T22:25:36.985518Z,1.1288661,3.3883193,8.3482819,-0.6245048,-0.3888687,-0.3092464,2.0798125,3.4435387,8.9472084,0.2064924,-0.0441776,0.3250417,0.9218228
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773860819380,2026-09-19T22:25:37.004389Z,1.1278186,3.3937061,8.6372318,-0.8222532,-0.2664958,-0.1791627,2.1127133,3.2955093,8.9951191,0.1993977,-0.0488859,0.3227009,0.9239669
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773870923017,2026-09-19T22:25:37.004860Z,1.2768577,3.3021278,8.8121586,-0.8222532,-0.2664958,-0.1791627,2.1127133,3.2955093,8.9951191,0.1993977,-0.0488859,0.3227009,0.9239669
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773881008630,2026-09-19T22:25:37.024333Z,1.4129531,3.2154129,8.9623203,-0.9329184,-0.1644073,-0.0750925,2.1370139,3.1253600,9.0499392,0.1910783,-0.0532945,0.3213474,0.9259506
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773891069950,2026-09-19T22:25:37.024769Z,1.6021699,3.1667058,9.0420771,-0.9329184,-0.1644073,-0.0750925,2.1370139,3.1253600,9.0499392,0.1910783,-0.0532945,0.3213474,0.9259506
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773901176639,2026-09-19T22:25:37.044603Z,1.6151135,3.1957355,9.2176762,-0.9558842,-0.2170170,-0.0637511,2.1749341,2.9537508,9.0984135,0.1829446,-0.0583981,0.3197447,0.9278385
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773911241662,2026-09-19T22:25:37.046611Z,1.8059763,3.1982794,9.2327900,-0.9558842,-0.2170170,-0.0637511,2.1749341,2.9537508,9.0984135,0.1829446,-0.0583981,0.3197447,0.9278385
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773921344649,2026-09-19T22:25:37.065592Z,1.9630958,3.1316159,9.2930937,-0.7932921,-0.4068216,-0.3259502,2.2344847,2.7965055,9.1336050,0.1758578,-0.0645284,0.3167795,0.9298177
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773931406091,2026-09-19T22:25:37.065819Z,1.3660417,3.2974143,9.9372091,-0.7932921,-0.4068216,-0.3259502,2.2344847,2.7965055,9.1336050,0.1758578,-0.0645284,0.3167795,0.9298177
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773941484585,2026-09-19T22:25:37.065947Z,1.9491794,3.1787517,9.5483761,-0.7932921,-0.4068216,-0.3259502,2.2344847,2.7965055,9.1336050,0.1758578,-0.0645284,0.3167795,0.9298177
gait_20260919_222536_andrew_normal_upside_down_1,andrew_normal_upside_down_1,2513773951597008,2026-09-19T22:25:37.084401Z,2.0298340,2.8945899,9.6109238,-0.7932921,-0.4068216,-0.3259502,2.2912564,2.6709025,9.1571026,0.1701982,-0.0702242,0.3122477,0.9319885
