session_id,label,t_ns,wall_time_utc,accel_x_mps2,accel_y_mps2,accel_z_mps2,gyro_x_rads,gyro_y_rads,gyro_z_rads,gravity_x_mps2,gravity_y_mps2,gravity_z_mps2,rotation_qx,rotation_qy,rotation_qz,rotation_qw
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957101828410,2026-09-19T22:28:40.264172Z,2.2412720,6.1412768,8.2944870,,,,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957111901813,2026-09-19T22:28:40.265145Z,1.9104981,5.9299140,8.4492130,,,,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957122018033,2026-09-19T22:28:40.265525Z,1.2870331,5.5098062,8.7937536,-1.4604642,3.3165917,-0.1343471,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957132122280,2026-09-19T22:28:40.276355Z,1.0296564,5.6358762,9.1966524,-1.4180633,3.4078052,-0.3023683,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957142209927,2026-09-19T22:28:40.276619Z,0.7642741,5.5500588,9.3911810,-1.4180633,3.4078052,-0.3023683,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957152296312,2026-09-19T22:28:40.296091Z,0.3306243,5.2368674,9.4209595,-1.3276993,3.4345849,-0.4402793,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957162354906,2026-09-19T22:28:40.296404Z,-0.3545663,4.8828249,9.4063692,-1.3276993,3.4345849,-0.4402793,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957172468919,2026-09-19T22:28:40.316139Z,-1.1829602,4.5120230,9.3832502,-1.2411989,3.3887033,-0.3942312,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957182544725,2026-09-19T22:28:40.316587Z,-2.0519805,4.1207952,9.3656683,-1.2411989,3.3887033,-0.3942312,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957192630947,2026-09-19T22:28:40.336179Z,-2.8123641,3.7632360,9.3424740,-1.1587454,3.3353109,-0.1490858,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957202713304,2026-09-19T22:28:40.337185Z,-3.3824832,3.3980455,9.1130047,-1.1587454,3.3353109,-0.1490858,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957212799852,2026-09-19T22:28:40.361689Z,-3.7248542,3.2095771,8.7648735,-1.1527500,3.3127947,0.1607935,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957222882168,2026-09-19T22:28:40.362669Z,-3.9131730,3.1884782,8.4226522,-1.1527500,3.3127947,0.1607935,,,,,,,
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957232943692,2026-09-19T22:28:40.376107Z,-3.9696612,3.2846951,8.1686420,-1.1799958,3.0538764,0.4801987,-0.7763090,5.0836554,8.3540344,0.1135048,-0.2476386,-0.9270435,0.2576473
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957243051928,2026-09-19T22:28:40.376734Z,-3.8474073,3.4709940,8.1037741,-1.1799958,3.0538764,0.4801987,-0.7763090,5.0836554,8.3540344,0.1135048,-0.2476386,-0.9270435,0.2576473
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957253170457,2026-09-19T22:28:40.397131Z,-3.6102316,3.6265421,8.1583176,-1.0852851,2.4944384,0.7011294,-1.1714092,4.9024644,8.4160414,0.1342886,-0.2304830,-0.9246793,0.2716841
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957263222012,2026-09-19T22:28:40.397656Z,-3.3025768,3.8063319,8.3652658,-1.0852851,2.4944384,0.7011294,-1.1714092,4.9024644,8.4160414,0.1342886,-0.2304830,-0.9246793,0.2716841
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957273307421,2026-09-19T22:28:40.415877Z,-2.9255648,3.9168391,8.5479736,-0.8875033,1.9151158,0.7183495,-1.4591684,4.7554674,8.4553213,0.1495087,-0.2165255,-0.9218403,0.2845599
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957283374153,2026-09-19T22:28:40.416422Z,-2.6249428,3.9290347,8.5832882,-0.8875033,1.9151158,0.7183495,-1.4591684,4.7554674,8.4553213,0.1495087,-0.2165255,-0.9218403,0.2845599
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957293477586,2026-09-19T22:28:40.435940Z,-2.4220343,3.9721303,8.5865049,-0.7405825,1.5257641,0.5711123,-1.6737907,4.6437426,8.4776287,0.1608287,-0.2056611,-0.9191217,0.2950474
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957303559007,2026-09-19T22:28:40.438264Z,-2.2343888,4.0689459,8.5547819,-0.7405825,1.5257641,0.5711123,-1.6737907,4.6437426,8.4776287,0.1608287,-0.2056611,-0.9191217,0.2950474
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957313644497,2026-09-19T22:28:40.456907Z,-2.2590790,4.0533085,8.5056257,-0.6979651,1.3826238,0.4015756,-1.8703662,4.5409427,8.4922132,0.1706959,-0.1957958,-0.9168650,0.3031265
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957323727912,2026-09-19T22:28:40.457372Z,-2.3680151,3.9383869,8.3948946,-0.6979651,1.3826238,0.4015756,-1.8703662,4.5409427,8.4922132,0.1706959,-0.1957958,-0.9168650,0.3031265
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957333815639,2026-09-19T22:28:40.475941Z,-1.0928782,3.6730795,15.6044340,0.3985446,0.0525764,0.1062353,-1.9061898,4.5228953,8.4938784,0.1727559,-0.1937932,-0.9160076,0.3058262
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957343896816,2026-09-19T22:28:40.476317Z,-3.1878047,4.6861262,10.9897594,0.3985446,0.0525764,0.1062353,-1.9061898,4.5228953,8.4938784,0.1727559,-0.1937932,-0.9160076,0.3058262
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957353990648,2026-09-19T22:28:40.496038Z,-3.3302598,4.0023570,10.2495022,0.8080808,-0.1333978,0.2315559,-1.8721739,4.6761546,8.4181147,0.1741963,-0.2022662,-0.9137794,0.3061883
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957364078497,2026-09-19T22:28:40.496587Z,0.6023662,4.2715549,8.6790562,0.8080808,-0.1333978,0.2315559,-1.8721739,4.6761546,8.4181147,0.1741963,-0.2022662,-0.9137794,0.3061883
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957374170701,2026-09-19T22:28:40.515961Z,0.9305963,4.6058455,6.6934400,0.2669787,0.3172569,-0.2514573,-1.9227401,4.7694073,8.3541574,0.1784080,-0.2066239,-0.9124682,0.3047609
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957384234789,2026-09-19T22:28:40.516362Z,-1.0332477,4.5970168,4.6991444,0.2669787,0.3172569,-0.2514573,-1.9227401,4.7694073,8.3541574,0.1784080,-0.2066239,-0.9124682,0.3047609
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957394329841,2026-09-19T22:28:40.536085Z,-3.9843256,4.3618612,3.9250693,-0.6336145,0.6038206,-0.1062353,-2.0330265,4.6972008,8.3689432,0.1824546,-0.2012441,-0.9131391,0.3039544
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957404380052,2026-09-19T22:28:40.536488Z,-5.2178636,4.0192661,4.4170027,-0.6336145,0.6038206,-0.1062353,-2.0330265,4.6972008,8.3689432,0.1824546,-0.2012441,-0.9131391,0.3039544
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957414488369,2026-09-19T22:28:40.556011Z,-4.2358665,3.6489131,5.8659439,-1.1848421,0.7274592,0.0895814,-2.1474500,4.5153084,8.4401751,0.1855850,-0.1890696,-0.9136453,0.3083233
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957424571255,2026-09-19T22:28:40.556994Z,-2.6410289,3.2325463,7.3978586,-1.1848421,0.7274592,0.0895814,-2.1474500,4.5153084,8.4401751,0.1855850,-0.1890696,-0.9136453,0.3083233
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957434657681,2026-09-19T22:28:40.576726Z,-1.8659810,2.9703813,8.1286144,-1.2384176,0.7853815,-0.1418413,-2.2809889,4.2932825,8.5206184,0.1886027,-0.1747862,-0.9147618,0.3115921
gait_20260919_222840_andrew_normal_left_3,andrew_normal_left_3,2513957444745083,2026-09-19T22:28:40.577178Z,-2.0804117,2.8119152,8.3788080,-1.2384176,0.7853815,-0.1418413,-2.2809889,4.2932825,8.5206184,0.1886027,-0.1747862,-0.9147618,0.3115921
